fname,ptype,exhaustive,mode,exists
poland_zabrze_2020_helenka.pb,approval_times_cost,True,priceable,False
poland_zabrze_2020_mikulczyce.pb,approval_times_cost,True,priceable,False
poland_zabrze_2020_rokitnica.pb,approval_times_cost,True,priceable,False
poland_zabrze_2020_zandka.pb,approval_times_cost,True,priceable,False
poland_zabrze_2021_helenka.pb,approval_times_cost,True,priceable,False
poland_zabrze_2021_konczyce.pb,approval_times_cost,True,priceable,False
poland_zabrze_2021_mikulczyce.pb,approval_times_cost,True,priceable,False
poland_zabrze_2020_guido.pb,approval_times_cost,True,priceable,False
poland_zabrze_2021_centrum-poludnie.pb,approval_times_cost,True,priceable,False
poland_katowice_2020_piotrowice-ochojec.pb,cardinal_times_cost,True,priceable,True
poland_katowice_2020_podlesie.pb,cardinal_standard,True,priceable,True
poland_katowice_2021_ligota-panewniki.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_ligota-panewniki.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2021_osiedle-tysiaclecia.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_osiedle-tysiaclecia.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2021_srodmiescie.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_srodmiescie.pb,cardinal_times_cost,True,priceable,False
poland_katowice_2021_zaleska-halda-brynow-czesc-zachodnia.pb,cardinal_standard,True,priceable,False
poland_katowice_2021_zaleska-halda-brynow-czesc-zachodnia.pb,cardinal_times_cost,True,priceable,False
poland_poznan_2023_9-stare-miasto.pb,approval_times_cost,True,priceable,False
poland_wroclaw_2017_rejon-nr-7-250.pb,approval_times_cost,True,priceable,False
poland_wroclaw_2018_rejon-nr-13-250.pb,approval_times_cost,True,priceable,False
poland_zabrze_2020_centrum-poludnie.pb,approval_times_cost,True,priceable,False
